HCS
28
31
29
42
58
80
72
77
143
67
56
41
55
33
51
84
84
99
108
113
171
69
47
29
28
21
33
34
47
61
76
98
109
37
56
33
34
35
43
35
49
54
41
54
55
43
59
34
32
26
30
54
57
67
85
115
122
84
63
57
36
37
43
56
62
62
78
87
87
78
58
54
45
42
40
45
54
73
99
86
108
68
96
46
34
48
52
68
79
105
150
156
186
96
74
61
43
36
46
47
74
76
87
112
163
105
74
56
38
37
49
42
64
60
67
74
61
58
74
47
34
31
40
51
63
65
83
81
89
49
30
26
10
14
20
23
37
41
70
63
78
53
33
31
16
22
17
32
36
56
76
75
68
53
47
46
35
51
56
42
57
56
68
105
137
75
70
90
72
62
89
75
85
92
108
105
162
107
80
74
63
60
67
68
81
82
70
102
152
101
94
75
82
79
105
130
164
144
153
138
179
108
92
75
57
56
72
78
92
121
116
117
134
100
114
112
