ms
1227.3
1238.2
1239.3
1250
1268.8
1281
1287.5
1296.4
1297.2
1297.8
1299.1
1306.2
1306
1321.4
1328.7
1332.8
1333.3
1342.7
1340.8
1354.3
1362.5
1362.3
1374.2
1376
1367.1
1371.1
1370.8
1358.4
1366
1380.1
1369
1378
1378.6
1376.6
1375.9
1374.3
1379.5
1378.4
1383.1
1381.4
1387.2
1375.5
1372.5
1372.6
1364.3
1370.4
1370.5
1366.4
1371.7
1362.9
1366.4
1378.2
1381
1368.2
1371.9
1376.8
1375.6
1379.6
1371.2
1373
1377.7
1380.4
1388.6
1391.5
1393.6
1404.6
1421.2
1407.9
1462.2
1474.1
1513.6
1601.1
1582.8
1567.1
1578.8
1612
1617.9
1659
1662.7
1660.7
1665.1
1678.3
1681.3
1691.9
1674.6
1699.7
1711.9
1699.6
1710.6
1731.7
1724.4
1749.3
1766.5
1780.9
1826.2
1835.8
1853.4
1872.5
1891.3
1901.4
1938.7
1956.2
2001.9
2113.8
2128.1
2140.2
2164.1
2163.5
2201.8
2209.9
2229
2248.8
2257.2
2277.3
2318.5
2348.9
2390.1
2422.5
2421.2
2460.6
2473.3
2472.4
2480.4
2515.8
2530.7
2531.4
2545.8
2552.1
2584.5
2623
2623.1
2664.4
2696.4
2726.4
2754.8
2778.6
2795.2
2829.5
2841.6
2802.9
2862.2
2868.8
2884.9
2940.7
2941
3007.1
2999.6
3000.9
2986.6
3020
3039.7
3028.5
3044.2
3018.6
3081.7
3094.9
3099
3130.4
3151.1
3200.3
3238.7
3245.7
3247.9
3315.1
3326.5
3335.7
3354.1
3342.4
3390.9
3404.8
3445.5
3454.2
3517.3
3525.9
3550.9
3580.7
3574.2
3606.7
3630.6
3612
3653.1
3622.5
3656.3
3660.2
3654.6
3655.1
3676.9
3679.9
3703.7
3720.8
3700.1
3751.3
