ihc
210.5
253.1
221.3
264.2
225.6
256.9
291.1
281.3
248.7
247.4
253.8
273.5
234.2
247
233.2
227.2
248.7
249.6
238.8
305.5
265.5
306.4
289.6
273.8
258.5
279.9
291
283
291.3
288.9
308.3
326.4
361.3
331.3
308.1
270.9
267
290.1
274.2
294.6
286.6
286.4
300.9
274.3
287.6
289.8
343.1
324.7
