elc
5124
5103
5058
5094
5106
5113
5119
5140
5164
5149
5165
5180
5193
5199
5236
5234
5280
5295
5313
5334
5359
5402
5403
5441
5403
5468
5486
5565
5580
5609
5622
5648
5680
5721
5781
5780
5843
5888
5911
5945
5938
5926
5925
5934
5917
5882
5857
5877
5919
5808
5909
5899
5906
5950
5939
5887
5870
5866
5833
5797
5781
5739
5721
5650
5612
5567
5519
5491
5428
5367
5229
5138
5013
4920
4792
4672
4633
4556
4490
4421
4369
4316
4302
4276
4233
4160
4192
4200
4169
4164
4145
4163
4154
4172
4179
4144
4125
4131
4140
4143
4170
4175
4194
4195
4222
4224
4236
4244
4256
4237
4242
4242
4216
4225
4233
4244
4248
4260
4267
4298
4331
4365
4377
4373
4400
4422
4426
4445
4466
4488
4510
4489
4529
4541
4562
4596
4611
4629
4663
4682
4708
4719
4719
4740
4761
4780
4763
4799
4832
4850
4866
4885
4901
4939
4976
5022
5004
5013
5039
5051
5052
5055
5070
5070
5099
5118
5136
5148
5166
5183
5192
5201
5201
5220
5216
5243
5258
5264
5283
5310
5330
5376
5379
5396
5430
5441
5454
5467
5475
5492
5491
5517
