cop
28.42
31.85
30.1
25.45
24.95
26.84
27.52
27.94
25.23
26.53
27.21
28.53
30.35
31.21
32.86
33.2
35.73
34.53
36.54
40.1
40.56
46.14
42.85
38.22
40.18
42.19
47.56
47.26
44.03
49.83
53.35
58.9
59.64
56.99
53.2
53.24
57.85
55.69
55.64
62.52
64.4
64.65
67.71
67.21
59.37
53.26
52.42
55.03
49.32
52.94
54.95
58.2
58.9
62.35
69.23
67.77
73.27
79.32
87.16
85.28
87.06
89.41
98.44
106.64
118.55
127.47
128.08
112.83
98.5
73.18
53.67
36.8
35
34.14
42.45
45.19
52.67
63.09
60.44
65.28
65.28
69.82
71.99
70.42
72.87
72.74
75.77
78.8
70.91
70.77
71.37
72.07
71.23
76.02
79.2
83.98
85.66
86.69
99.19
108.8
102.46
97.3
97.82
89
90.22
92.28
100.18
98.71
98.99
102.04
105.42
103.62
95.57
83.59
86.1
92.53
95.98
92.24
89.64
89.81
95
95.01
95.54
94.41
94.75
93.82
101.41
102.96
102.32
96.18
88.7
91.85
89.57
96.86
96.17
96.49
95.74
98.68
96.7
90.72
86.87
78.84
71.07
54.86
43.06
44.35
42.66
49.3
54.38
55.88
47.7
39.98
41.6
42.34
38.19
32.26
27.02
25.52
31.87
35.59
41.02
43.96
40.71
40.46
40.55
45
41.65
47.12
48.19
49.41
46.39
47.23
45.19
42.17
43.42
44.96
47.17
49.12
55.19
56.98
62.25
61.18
60.68
63.5
66.16
62.8
67
62.64
63.54
65.18
55.65
47.63
47.85
52.51
57.47
63.01
59.68
54.22
56.47
53.63
55.07
53.14
